AREA,ST,STATE,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_Q,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY,State_ID,ID,Base Year,Base,Projected Year,Projection,Change,Percent Change,Average Annual Openings,MajorGroupCode,MajorGroup,MinorGroup,MinorGroupDescr,JobDescription,RJ_1,RJ_2,RJ_3,RJ_4,RJ_5,RJ_6,RJ_7,RJ_8,RJ_9,RJ_10,RJ_11,RJ_12,RJ_13,RJ_14,RJ_15,RJ_16,RJ_17,RJ_18,RJ_19,RJ_20,RJ_21,RJ_22,RJ_23,RJ_24,RJ_25,RJ_26,RJ_27,RJ_28,RJ_29,RJ_30,RJ_31,RJ_32,RJ_33,RJ_34,RJ_35,RJ_36,RJ_37,RJ_38,RJ_39,RJ_40,RJ_41,RJ_42,RJ_43,RJ_44,RJ_45,RJ_46,RJ_47,RJ_48,RJ_49,RJ_50,RJ_51,RJ_52,RJ_53,RJDescr_1,RJDescr_2,RJDescr_3,RJDescr_4,RJDescr_5,RJDescr_6,RJDescr_7,RJDescr_8,RJDescr_9,RJDescr_10,RJDescr_11,RJDescr_12,RJDescr_13,RJDescr_14,RJDescr_15,RJDescr_16,RJDescr_17,RJDescr_18,RJDescr_19,RJDescr_20,RJDescr_21,RJDescr_22,RJDescr_23,RJDescr_24,RJDescr_25,RJDescr_26,RJDescr_27,RJDescr_28,RJDescr_29,RJDescr_30,RJDescr_31,RJDescr_32,RJDescr_33,RJDescr_34,RJDescr_35,RJDescr_36,RJDescr_37,RJDescr_38,RJDescr_39,RJDescr_40,RJDescr_41,RJDescr_42,RJDescr_43,RJDescr_44,RJDescr_45,RJDescr_46,RJDescr_47,RJDescr_48,RJDescr_49,RJDescr_50,RJDescr_51,RJDescr_52,RJDescr_53,MajorGroupIndex,Education,EducationIndex,Training,TrainingIndex,Experience,ExperienceIndex,STEM,STEMIndex
0,USA, United States,00-0000,All Occupations,total,137896660,0.1,,,23.23,48320,0.1,9.07,11.27,17.4,28.32,44.29,18870,23430,36200,58900,92110,,,0,0-00-0000,2014,150539900,2024,160328800,9788900,6.5,4650690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,USA, United States,11-0000,Management Occupations,major,6936990,0.2,,,55.3,115020,0.1,22.29,32.38,47.38,69.21,#,46370,67350,98560,143950,#,,,0,0-11-0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
0,USA, United States,11-1000,Top Executives,minor,2439900,0.2,,,59.71,124210,0.2,20.47,31.39,48.53,77.4,#,42580,65290,100940,160980,#,,,0,0-11-1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
0,USA, United States,11-1010,Chief Executives,broad,238940,0.7,,,89.35,185850,0.4,32.98,53.38,84.19,#,#,68600,111040,175110,#,#,,,0,0-11-1010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
0,USA, United States,11-1011,Chief Executives,detailed,238940,0.7,,,89.35,185850,0.4,32.98,53.38,84.19,#,#,68600,111040,175110,#,#,,,0,0-11-1011,2014,343400,2024,339400,-4100,-1.2,5840,11-0000,Management ,11-1000,Top Executives,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.",22-Nov,Nov-31,Nov-31,Nov-61,Nov-71,Nov-31,11-Nov,Nov-99,23-1011,41-1012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sales Managers,Public Relations and Fundraising Managers,Financial Managers,Purchasing Managers,"Transportation, Storage, and Distribution Managers",Training and Development Managers,Medical and Health Services Managers,"Managers, All Other",Lawyers,First-Line Supervisors of Non-Retail Sales Workers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Bachelor's degree,5,5 years or more,2,None,0,Non-STEM,1
0,USA, United States,11-1020,General and Operations Managers,broad,2145140,0.3,,,57.44,119460,0.2,21.24,31.13,46.99,73.21,#,44190,64750,97730,152270,#,,,0,0-11-1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
0,USA, United States,11-1021,General and Operations Managers,detailed,2145140,0.3,,,57.44,119460,0.2,21.24,31.13,46.99,73.21,#,44190,64750,97730,152270,#,,,0,0-11-1021,2014,2124100,2024,2275200,151100,7.1,68880,11-0000,Management ,11-1000,Top Executives,"Plan, direct, or coordinate the operations of public or private sector organizations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services.",11-Nov,Nov-61,Nov-71,Nov-51,Nov-71,Nov-81,13-1022,43-1011,53-1031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Administrative Services Managers,Purchasing Managers,"Transportation, Storage, and Distribution Managers",Food Service Managers,Gaming Managers,Lodging Managers,"Wholesale and Retail Buyers, Except Farm Products",First-Line Supervisors of Office and Administrative Support Workers,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Bachelor's degree,5,5 years or more,2,None,0,Non-STEM,1
0,USA, United States,11-1030,Legislators,broad,55820,1.3,,,*,42530,1.2,*,*,*,*,*,16950,18160,20500,64180,91960,TRUE,,0,0-11-1030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
0,USA, United States,11-1031,Legislators,detailed,55820,1.3,,,*,42530,1.2,*,*,*,*,*,16950,18160,20500,64180,91960,TRUE,,0,0-11-1031,2014,58300,2024,57900,-400,-0.7,1290,11-0000,Management ,11-1000,Top Executives,"Develop, introduce or enact laws and statutes at the local, tribal, State, or Federal level. Includes only workers in elected positions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Bachelor's degree,5,Less than 5 years,1,None,0,Non-STEM,1
0,USA, United States,Nov-00,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",minor,647360,0.5,,,63.3,131670,0.3,27.18,38.37,56.16,79.46,#,56530,79810,116810,165280,#,,,0,0-11-2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
